"activity" "variable" "value"
"LAYING" "tBodyAccMeanX" 0.268648643296245
"SITTING" "tBodyAccMeanX" 0.273059614418965
"STANDING" "tBodyAccMeanX" 0.279153494050367
"WALKING" "tBodyAccMeanX" 0.276336875325203
"WALKING_DOWNSTAIRS" "tBodyAccMeanX" 0.288137227760313
"WALKING_UPSTAIRS" "tBodyAccMeanX" 0.26229464948342
"LAYING" "tBodyAccMeanY" -0.0183177280685082
"SITTING" "tBodyAccMeanY" -0.0126895730832639
"STANDING" "tBodyAccMeanY" -0.016151886473745
"WALKING" "tBodyAccMeanY" -0.0179068331339779
"WALKING_DOWNSTAIRS" "tBodyAccMeanY" -0.0163119254923574
"WALKING_UPSTAIRS" "tBodyAccMeanY" -0.0259232890342181
"LAYING" "tBodyAccMeanZ" -0.107435631519084
"SITTING" "tBodyAccMeanZ" -0.105517003220878
"STANDING" "tBodyAccMeanZ" -0.106586908690788
"WALKING" "tBodyAccMeanZ" -0.108881687638618
"WALKING_DOWNSTAIRS" "tBodyAccMeanZ" -0.105761624860013
"WALKING_UPSTAIRS" "tBodyAccMeanZ" -0.120537934670272
"LAYING" "tBodyAccStdX" -0.960932405036523
"SITTING" "tBodyAccStdX" -0.983446221750141
"STANDING" "tBodyAccStdX" -0.98443471156873
"WALKING" "tBodyAccStdX" -0.314644454310285
"WALKING_DOWNSTAIRS" "tBodyAccStdX" 0.100766330932127
"WALKING_UPSTAIRS" "tBodyAccStdX" -0.237989747950635
"LAYING" "tBodyAccStdY" -0.943507185574074
"SITTING" "tBodyAccStdY" -0.934880562895515
"STANDING" "tBodyAccStdY" -0.932508714024134
"WALKING" "tBodyAccStdY" -0.0235829464260859
"WALKING_DOWNSTAIRS" "tBodyAccStdY" 0.0595486228783642
"WALKING_UPSTAIRS" "tBodyAccStdY" -0.0160325123253303
"LAYING" "tBodyAccStdZ" -0.948069300024897
"SITTING" "tBodyAccStdZ" -0.938981580616207
"STANDING" "tBodyAccStdZ" -0.939913504673138
"WALKING" "tBodyAccStdZ" -0.2739207990668
"WALKING_DOWNSTAIRS" "tBodyAccStdZ" -0.190804507442162
"WALKING_UPSTAIRS" "tBodyAccStdZ" -0.175449700484728
"LAYING" "tGravityAccMeanX" -0.375021333827161
"SITTING" "tGravityAccMeanX" 0.879731193472144
"STANDING" "tGravityAccMeanX" 0.941479635262329
"WALKING" "tGravityAccMeanX" 0.93499157825784
"WALKING_DOWNSTAIRS" "tGravityAccMeanX" 0.926457404928876
"WALKING_UPSTAIRS" "tGravityAccMeanX" 0.875003375958549
"LAYING" "tGravityAccMeanY" 0.622270362899691
"SITTING" "tGravityAccMeanY" 0.108713540331707
"STANDING" "tGravityAccMeanY" -0.18424651390288
"WALKING" "tGravityAccMeanY" -0.196713497359117
"WALKING_DOWNSTAIRS" "tGravityAccMeanY" -0.168507222023357
"WALKING_UPSTAIRS" "tGravityAccMeanY" -0.281377193548575
"LAYING" "tGravityAccMeanZ" 0.55561247407572
"SITTING" "tGravityAccMeanZ" 0.153774088505577
"STANDING" "tGravityAccMeanZ" -0.0140519613122015
"WALKING" "tGravityAccMeanZ" -0.0538251249015482
"WALKING_DOWNSTAIRS" "tGravityAccMeanZ" -0.0479709004743904
"WALKING_UPSTAIRS" "tGravityAccMeanZ" -0.14079566587547
"LAYING" "tGravityAccStdX" -0.943319727953189
"SITTING" "tGravityAccStdX" -0.979682230393922
"STANDING" "tGravityAccStdX" -0.988015176652676
"WALKING" "tGravityAccStdX" -0.977612074494773
"WALKING_DOWNSTAIRS" "tGravityAccStdX" -0.949748838733997
"WALKING_UPSTAIRS" "tGravityAccStdX" -0.948191332253886
"LAYING" "tGravityAccStdY" -0.963191706084414
"SITTING" "tGravityAccStdY" -0.957672740350591
"STANDING" "tGravityAccStdY" -0.969351769994753
"WALKING" "tGravityAccStdY" -0.966903875917538
"WALKING_DOWNSTAIRS" "tGravityAccStdY" -0.934266078534851
"WALKING_UPSTAIRS" "tGravityAccStdY" -0.925549271962435
"LAYING" "tGravityAccStdZ" -0.951868724368827
"SITTING" "tGravityAccStdZ" -0.947357438593134
"STANDING" "tGravityAccStdZ" -0.953082525826338
"WALKING" "tGravityAccStdZ" -0.954597565156794
"WALKING_DOWNSTAIRS" "tGravityAccStdZ" -0.912460554516358
"WALKING_UPSTAIRS" "tGravityAccStdZ" -0.901905618180052
"LAYING" "tBodyAccJerkMeanX" 0.0818473898341049
"SITTING" "tBodyAccJerkMeanX" 0.0758788492274395
"STANDING" "tBodyAccJerkMeanX" 0.0750279173525708
"WALKING" "tBodyAccJerkMeanX" 0.0767187377408595
"WALKING_DOWNSTAIRS" "tBodyAccJerkMeanX" 0.0892266917679481
"WALKING_UPSTAIRS" "tBodyAccJerkMeanX" 0.0767293215286917
"LAYING" "tBodyAccJerkMeanY" 0.0111723565401199
"SITTING" "tBodyAccJerkMeanY" 0.00504690529678683
"STANDING" "tBodyAccJerkMeanY" 0.00880525863452886
"WALKING" "tBodyAccJerkMeanY" 0.0115061924659823
"WALKING_DOWNSTAIRS" "tBodyAccJerkMeanY" 0.000746749097403983
"WALKING_UPSTAIRS" "tBodyAccJerkMeanY" 0.00875888964679404
"LAYING" "tBodyAccJerkMeanZ" -0.00485976942268338
"SITTING" "tBodyAccJerkMeanZ" -0.0024866605775919
"STANDING" "tBodyAccJerkMeanZ" -0.00458206132902833
"WALKING" "tBodyAccJerkMeanZ" -0.00231938614930952
"WALKING_DOWNSTAIRS" "tBodyAccJerkMeanZ" -0.00872860399406828
"WALKING_UPSTAIRS" "tBodyAccJerkMeanZ" -0.00600953398545337
"LAYING" "tBodyAccJerkStdX" -0.980381808513375
"SITTING" "tBodyAccJerkStdX" -0.984997226336522
"STANDING" "tBodyAccJerkStdX" -0.97996855569255
"WALKING" "tBodyAccJerkStdX" -0.267288163330981
"WALKING_DOWNSTAIRS" "tBodyAccJerkStdX" -0.0338826468930654
"WALKING_UPSTAIRS" "tBodyAccJerkStdX" -0.360863432417876
"LAYING" "tBodyAccJerkStdY" -0.971147567757202
"SITTING" "tBodyAccJerkStdY" -0.973883160517726
"STANDING" "tBodyAccJerkStdY" -0.964342752203568
"WALKING" "tBodyAccJerkStdY" -0.103141139217389
"WALKING_DOWNSTAIRS" "tBodyAccJerkStdY" -0.0736744063550434
"WALKING_UPSTAIRS" "tBodyAccJerkStdY" -0.339226496686328
"LAYING" "tBodyAccJerkStdZ" -0.979476595910494
"SITTING" "tBodyAccJerkStdZ" -0.982296486972425
"STANDING" "tBodyAccJerkStdZ" -0.979485931469045
"WALKING" "tBodyAccJerkStdZ" -0.479147120981986
"WALKING_DOWNSTAIRS" "tBodyAccJerkStdZ" -0.388666069444772
"WALKING_UPSTAIRS" "tBodyAccJerkStdZ" -0.627063649764249
"LAYING" "tBodyGyroMeanX" -0.0167253403420918
"SITTING" "tBodyGyroMeanX" -0.0384313168439482
"STANDING" "tBodyGyroMeanX" -0.0266871408413746
"WALKING" "tBodyGyroMeanX" -0.0347275766522822
"WALKING_DOWNSTAIRS" "tBodyGyroMeanX" -0.0840345434632895
"WALKING_UPSTAIRS" "tBodyGyroMeanX" 0.00682449600215674
"LAYING" "tBodyGyroMeanY" -0.0934107103603086
"SITTING" "tBodyGyroMeanY" -0.0721208098964153
"STANDING" "tBodyGyroMeanY" -0.0677118654705719
"WALKING" "tBodyGyroMeanY" -0.0694200436104837
"WALKING_DOWNSTAIRS" "tBodyGyroMeanY" -0.0529928638977233
"WALKING_UPSTAIRS" "tBodyGyroMeanY" -0.0885225289752966
"LAYING" "tBodyGyroMeanZ" 0.125885141252623
"SITTING" "tBodyGyroMeanZ" 0.0777771461510523
"STANDING" "tBodyGyroMeanZ" 0.0801422394994229
"WALKING" "tBodyGyroMeanZ" 0.0863626487285566
"WALKING_DOWNSTAIRS" "tBodyGyroMeanZ" 0.0946781961059175
"WALKING_UPSTAIRS" "tBodyGyroMeanZ" 0.0598938080367487
"LAYING" "tBodyGyroStdX" -0.967892432932613
"SITTING" "tBodyGyroStdX" -0.981022213218908
"STANDING" "tBodyGyroStdX" -0.94552836296957
"WALKING" "tBodyGyroStdX" -0.469914839340418
"WALKING_DOWNSTAIRS" "tBodyGyroStdX" -0.333817475057255
"WALKING_UPSTAIRS" "tBodyGyroStdX" -0.46760713827921
"LAYING" "tBodyGyroStdY" -0.963192469243827
"SITTING" "tBodyGyroStdY" -0.966708127310073
"STANDING" "tBodyGyroStdY" -0.961293278672613
"WALKING" "tBodyGyroStdY" -0.347921806314175
"WALKING_DOWNSTAIRS" "tBodyGyroStdY" -0.339631376954339
